,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
275,300751.SZ,20190311,159.1,172.34,159.1,171.86,162.07,9.79,6.0406,11464.04,191708.123
274,300751.SZ,20190312,171.82,173.7,169.99,170.0,171.86,-1.86,-1.0823,10001.39,172123.236
273,300751.SZ,20190313,170.0,173.83,164.9,165.22,170.0,-4.78,-2.8118,6869.42,116574.277
272,300751.SZ,20190314,164.53,172.7,164.53,166.71,165.22,1.49,0.9018,8842.86,149121.708
271,300751.SZ,20190315,167.03,171.97,166.7,169.67,166.71,2.96,1.7755,5977.61,101393.479
270,300751.SZ,20190318,171.17,171.9,165.8,171.6,169.67,1.93,1.1375,5326.0,89766.263
269,300751.SZ,20190319,171.8,180.0,169.67,179.44,171.6,7.84,4.5688,9217.78,162416.952
268,300751.SZ,20190320,179.94,182.25,176.0,178.0,179.44,-1.44,-0.8025,6999.76,124802.267
267,300751.SZ,20190321,178.0,179.0,173.0,175.15,178.0,-2.85,-1.6011,4632.6,81359.062
266,300751.SZ,20190322,174.38,174.84,168.5,169.21,175.15,-5.94,-3.3914,5191.41,88552.871
265,300751.SZ,20190325,166.33,169.5,165.16,165.8,169.21,-3.41,-2.0152,4246.57,71110.808
264,300751.SZ,20190326,166.58,168.72,159.14,160.18,165.8,-5.62,-3.3896,7013.47,113868.895
263,300751.SZ,20190327,160.3,162.43,159.21,161.21,160.18,1.03,0.643,2938.8,47277.263
262,300751.SZ,20190328,161.21,167.7,159.08,163.0,161.21,1.79,1.1104,6149.9,100992.568
261,300751.SZ,20190329,163.0,170.52,162.02,169.55,163.0,6.55,4.0184,6039.56,101038.357
260,300751.SZ,20190401,170.45,177.5,170.45,175.83,169.55,6.28,3.7039,5655.06,98662.243
259,300751.SZ,20190402,176.87,187.63,175.0,184.75,175.83,8.92,5.0731,11884.83,218216.106
258,300751.SZ,20190403,182.0,186.5,177.8,184.0,184.75,-0.75,-0.406,6934.07,125347.764
257,300751.SZ,20190404,183.66,183.66,177.7,177.8,184.0,-6.2,-3.3696,4268.22,76643.565
256,300751.SZ,20190408,176.98,178.5,168.98,171.1,177.8,-6.7,-3.7683,4424.45,76286.365
255,300751.SZ,20190409,170.99,171.8,166.12,169.3,171.1,-1.8,-1.052,2315.92,39185.624
254,300751.SZ,20190410,169.31,174.5,168.68,173.0,169.3,3.7,2.1855,2908.34,49927.377
253,300751.SZ,20190411,174.7,174.7,167.37,170.01,173.0,-2.99,-1.7283,2596.21,44288.392
252,300751.SZ,20190412,170.17,180.8,169.0,175.0,170.01,4.99,2.9351,5415.08,95469.906
251,300751.SZ,20190415,175.82,179.1,172.03,173.99,175.0,-1.01,-0.5771,3671.29,64251.261
250,300751.SZ,20190416,173.0,176.35,171.0,176.0,173.99,2.01,1.1552,2569.4,44508.021
249,300751.SZ,20190417,174.77,184.9,174.7,181.0,176.0,5.0,2.8409,5367.1,96665.373
248,300751.SZ,20190418,181.05,183.0,177.06,181.2,181.0,0.2,0.1105,2590.51,46441.664
247,300751.SZ,20190419,182.0,186.4,180.11,184.32,181.2,3.12,1.7219,4764.88,87534.813
246,300751.SZ,20190422,185.5,185.94,179.5,179.59,184.32,-4.73,-2.5662,3011.82,55166.706
245,300751.SZ,20190423,179.79,186.5,179.02,183.0,179.59,3.41,1.8988,4075.2,74874.354
244,300751.SZ,20190424,183.0,184.27,178.88,183.58,183.0,0.58,0.3169,2644.0,47906.776
243,300751.SZ,20190425,182.99,187.0,180.27,182.44,183.58,-1.14,-0.621,3257.89,60101.415
242,300751.SZ,20190426,182.51,182.98,164.5,165.95,182.44,-16.49,-9.0386,7532.68,128534.332
241,300751.SZ,20190429,167.27,168.0,158.88,162.0,165.95,-3.95,-2.3802,4696.71,76569.257
240,300751.SZ,20190430,161.79,162.5,159.03,160.69,162.0,-1.31,-0.8086,2963.8,47490.187
239,300751.SZ,20190506,160.3,160.3,145.03,145.03,160.69,-15.66,-9.7455,5113.47,76599.075
238,300751.SZ,20190507,146.0,148.3,142.13,145.46,145.03,0.43,0.2965,3218.68,46816.97
237,300751.SZ,20190508,143.0,145.58,137.16,140.9,145.46,-4.56,-3.1349,4314.61,61235.027
236,300751.SZ,20190509,140.21,143.2,139.02,140.8,140.2,0.6,0.428,2926.67,41367.23
235,300751.SZ,20190510,142.0,147.97,142.0,146.23,140.8,5.43,3.8565,6891.21,100067.161
234,300751.SZ,20190513,145.85,145.85,138.82,140.52,146.23,-5.71,-3.9048,4924.36,69629.521
233,300751.SZ,20190514,139.89,141.26,138.5,138.87,140.52,-1.65,-1.1742,3701.0,51608.512
232,300751.SZ,20190515,138.75,145.5,138.75,145.0,138.87,6.13,4.4142,6877.5,98120.897
231,300751.SZ,20190516,145.58,145.68,141.96,142.3,145.0,-2.7,-1.8621,4462.0,63909.498
230,300751.SZ,20190517,143.19,143.19,128.07,128.07,142.3,-14.23,-10.0,11273.99,150152.494
229,300751.SZ,20190520,125.12,128.03,118.23,126.5,128.07,-1.57,-1.2259,8600.72,106459.468
228,300751.SZ,20190521,126.33,130.7,125.59,129.7,126.5,3.2,2.5296,4505.97,58074.058
227,300751.SZ,20190522,131.0,131.93,127.5,129.0,129.7,-0.7,-0.5397,4377.14,57050.077
226,300751.SZ,20190523,130.52,130.98,125.4,126.18,129.0,-2.82,-2.186,3603.62,46049.569
225,300751.SZ,20190524,126.2,128.38,126.11,126.48,126.18,0.3,0.2378,2301.53,29261.285
224,300751.SZ,20190527,131.9,132.0,127.0,129.28,126.48,2.8,2.2138,4741.63,61442.689
223,300751.SZ,20190528,129.87,129.87,127.28,127.84,129.28,-1.44,-1.1139,2461.0,31610.997
222,300751.SZ,20190529,128.5,129.77,127.3,128.2,127.84,0.36,0.2816,2463.13,31626.158
221,300751.SZ,20190530,127.85,127.85,117.18,122.0,128.2,-6.2,-4.8362,9890.58,120099.535
220,300751.SZ,20190531,121.6,128.5,121.24,125.5,122.0,3.5,2.8689,11756.41,147947.286
219,300751.SZ,20190603,126.57,126.79,120.8,121.04,125.5,-4.46,-3.5538,6044.33,74325.826
218,300751.SZ,20190604,121.93,122.46,118.0,118.18,121.04,-2.86,-2.3629,4404.62,52922.322
217,300751.SZ,20190605,119.78,120.53,117.61,118.72,118.18,0.54,0.4569,3727.0,44420.931
216,300751.SZ,20190606,118.72,119.32,113.3,113.54,118.72,-5.18,-4.3632,5310.86,61085.01
215,300751.SZ,20190610,112.63,116.52,112.63,113.57,113.54,0.03,0.0264,6106.28,69958.946
214,300751.SZ,20190611,114.61,118.53,114.2,117.55,113.57,3.98,3.5044,6766.19,79124.22
213,300751.SZ,20190612,117.8,118.04,114.58,114.78,117.55,-2.77,-2.3564,5164.55,60163.008
212,300751.SZ,20190613,115.38,116.51,113.88,116.2,114.78,1.42,1.2371,5004.15,57861.85
211,300751.SZ,20190614,116.49,116.77,110.89,111.5,116.2,-4.7,-4.0448,7079.0,80131.305
210,300751.SZ,20190617,112.0,112.73,108.18,109.42,111.5,-2.08,-1.8655,6456.85,71075.265
209,300751.SZ,20190618,108.95,112.96,108.95,111.11,109.42,1.69,1.5445,6488.01,72024.877
208,300751.SZ,20190619,115.0,117.5,113.32,116.3,111.11,5.19,4.671,10371.61,119602.133
207,300751.SZ,20190620,115.57,118.0,114.25,117.51,116.3,1.21,1.0404,8469.78,98394.584
206,300751.SZ,20190621,118.08,124.34,117.51,123.48,117.51,5.97,5.0804,11025.82,133898.473
205,300751.SZ,20190624,124.0,124.6,120.55,121.3,123.48,-2.18,-1.7655,6293.95,76481.373
204,300751.SZ,20190625,123.6,129.36,123.3,124.55,121.3,3.25,2.6793,11289.76,142183.478
203,300751.SZ,20190626,124.8,127.88,122.7,126.53,124.55,1.98,1.5897,6860.7,85949.266
202,300751.SZ,20190627,126.47,129.18,126.01,127.33,126.53,0.8,0.6323,5715.71,72888.938
201,300751.SZ,20190628,129.0,129.0,126.15,126.76,127.33,-0.57,-0.4477,6849.22,87277.607
200,300751.SZ,20190701,129.89,133.46,127.52,131.5,126.76,4.74,3.7393,8004.65,104684.319
199,300751.SZ,20190702,130.1,135.17,130.06,133.18,131.5,1.68,1.2776,6390.91,84874.9
198,300751.SZ,20190703,134.0,134.0,131.11,131.89,133.18,-1.29,-0.9686,5574.41,73636.466
197,300751.SZ,20190704,131.9,132.44,128.85,130.91,131.89,-0.98,-0.743,5888.37,76782.755
196,300751.SZ,20190705,132.0,139.5,130.52,138.5,130.91,7.59,5.7979,10333.05,140317.532
195,300751.SZ,20190708,137.0,137.4,127.0,128.0,138.5,-10.5,-7.5812,10346.39,135735.82
194,300751.SZ,20190709,127.5,133.36,126.8,131.61,128.0,3.61,2.8203,6571.27,85850.392
193,300751.SZ,20190710,132.07,134.96,131.2,133.0,131.61,1.39,1.0562,5682.3,75465.004
192,300751.SZ,20190711,132.88,135.58,129.03,130.15,133.0,-2.85,-2.1429,5502.39,72572.889
191,300751.SZ,20190712,131.0,134.56,129.62,132.5,130.15,2.35,1.8056,6650.11,88094.224
190,300751.SZ,20190715,128.01,133.48,127.91,130.8,132.5,-1.7,-1.283,8621.38,112452.311
189,300751.SZ,20190716,131.27,131.8,126.85,127.32,130.8,-3.48,-2.6606,8326.49,106791.831
188,300751.SZ,20190717,126.78,128.17,125.1,126.85,127.32,-0.47,-0.3691,5630.89,71393.933
187,300751.SZ,20190718,125.77,126.19,120.38,120.9,126.85,-5.95,-4.6906,6971.3,85830.818
186,300751.SZ,20190719,122.14,123.5,121.3,123.35,120.9,2.45,2.0265,6244.33,76592.492
185,300751.SZ,20190722,122.3,122.31,114.23,114.85,123.35,-8.5,-6.891,10116.0,117076.444
184,300751.SZ,20190723,114.22,115.67,113.3,114.76,114.85,-0.09,-0.0784,5700.12,65338.652
183,300751.SZ,20190724,115.19,118.8,115.19,118.08,114.76,3.32,2.893,6930.1,81423.893
182,300751.SZ,20190725,119.0,123.85,118.13,122.99,118.08,4.91,4.1582,7622.7,92929.913
181,300751.SZ,20190726,122.65,124.45,121.2,123.29,122.99,0.3,0.2439,5256.01,64732.303
180,300751.SZ,20190729,123.79,128.38,123.51,127.18,123.29,3.89,3.1552,7456.48,93634.875
179,300751.SZ,20190730,126.95,133.4,125.66,131.85,127.18,4.67,3.672,11085.83,144824.784
178,300751.SZ,20190731,132.0,139.58,131.85,138.62,131.85,6.77,5.1346,12639.9,172526.833
177,300751.SZ,20190801,137.5,139.48,134.5,137.34,138.62,-1.28,-0.9234,10716.01,146658.823
176,300751.SZ,20190802,135.1,141.66,135.02,141.21,137.34,3.87,2.8178,16291.43,227004.544
175,300751.SZ,20190805,140.0,140.01,133.62,134.1,141.21,-7.11,-5.0351,13343.51,181450.739
174,300751.SZ,20190806,129.1,144.77,129.1,142.3,134.1,8.2,6.1148,12985.32,178410.651
173,300751.SZ,20190807,140.8,146.95,140.28,142.35,142.3,0.05,0.0351,9960.5,142860.001
172,300751.SZ,20190808,143.76,143.76,138.11,139.4,142.35,-2.95,-2.0724,6559.41,92065.151
171,300751.SZ,20190809,140.96,145.97,137.0,138.39,139.4,-1.01,-0.7245,6666.93,94100.496
170,300751.SZ,20190812,139.0,145.67,136.5,145.0,138.39,6.61,4.7764,6839.12,97152.629
169,300751.SZ,20190813,143.99,143.99,141.55,143.18,145.0,-1.82,-1.2552,4874.53,69448.445
168,300751.SZ,20190814,144.98,147.6,141.68,141.99,143.18,-1.19,-0.8311,6525.79,94531.924
167,300751.SZ,20190815,137.2,145.2,137.2,144.5,141.99,2.51,1.7677,7344.0,104562.783
166,300751.SZ,20190816,144.5,145.8,141.84,142.26,144.5,-2.24,-1.5502,5448.2,78064.377
165,300751.SZ,20190819,143.98,156.49,142.35,155.81,142.26,13.55,9.5248,12656.17,189034.346
164,300751.SZ,20190820,154.0,156.66,150.0,152.56,155.81,-3.25,-2.0859,8237.83,126001.296
163,300751.SZ,20190821,153.0,164.41,151.99,162.0,152.56,9.44,6.1877,12763.25,203985.962
162,300751.SZ,20190822,164.0,167.21,158.04,163.09,162.0,1.09,0.6728,9630.76,156939.201
161,300751.SZ,20190823,161.46,161.81,153.03,153.19,163.09,-9.9,-6.0703,9284.66,146029.557
160,300751.SZ,20190826,150.2,158.97,150.2,155.0,153.19,1.81,1.1815,10339.71,161186.46
159,300751.SZ,20190827,154.83,159.44,153.33,155.53,155.0,0.53,0.3419,7345.33,114585.522
158,300751.SZ,20190828,155.0,155.89,150.53,150.9,155.53,-4.63,-2.9769,7239.33,110348.752
157,300751.SZ,20190829,151.93,151.99,145.03,145.88,150.9,-5.02,-3.3267,9695.33,143404.594
156,300751.SZ,20190830,146.72,148.72,141.68,143.24,145.88,-2.64,-1.8097,10095.35,145902.413
155,300751.SZ,20190902,142.33,150.23,142.33,149.21,143.24,5.97,4.1678,9987.96,146728.132
154,300751.SZ,20190903,148.6,153.49,144.67,152.8,149.21,3.59,2.406,7812.77,116752.981
153,300751.SZ,20190904,151.54,153.58,149.0,151.15,152.8,-1.65,-1.0798,5098.95,76895.702
152,300751.SZ,20190905,152.0,154.0,149.64,150.32,151.15,-0.83,-0.5491,6569.5,99637.355
151,300751.SZ,20190906,150.19,151.17,143.8,145.43,150.32,-4.89,-3.2531,7906.79,115744.449
150,300751.SZ,20190909,145.01,150.49,145.01,150.42,145.43,4.99,3.4312,7969.83,118099.356
149,300751.SZ,20190910,150.0,150.29,146.12,150.1,150.42,-0.32,-0.2127,5757.75,85372.048
148,300751.SZ,20190911,149.33,156.5,148.52,152.51,150.1,2.41,1.6056,8506.1,130313.321
147,300751.SZ,20190912,152.56,153.56,149.01,150.9,152.51,-1.61,-1.0557,4462.35,67408.214
146,300751.SZ,20190916,150.99,151.82,148.4,149.3,150.9,-1.6,-1.0603,3830.0,57323.034
145,300751.SZ,20190917,149.4,149.4,142.41,144.4,149.3,-4.9,-3.282,5626.35,81822.393
144,300751.SZ,20190918,144.28,145.29,143.38,145.29,144.4,0.89,0.6163,2488.35,35948.683
143,300751.SZ,20190919,145.94,146.73,143.55,145.55,145.29,0.26,0.179,4034.76,58743.548
142,300751.SZ,20190920,146.15,153.87,146.0,153.39,145.55,7.84,5.3865,10264.9,154754.758
141,300751.SZ,20190923,152.7,156.47,151.3,155.0,153.39,1.61,1.0496,6282.52,96850.319
140,300751.SZ,20190924,154.31,161.61,154.3,156.64,155.0,1.64,1.0581,8595.12,135935.854
139,300751.SZ,20190925,156.29,159.48,153.1,153.39,156.64,-3.25,-2.0748,5842.2,91430.274
138,300751.SZ,20190926,156.68,163.63,154.5,155.44,153.39,2.05,1.3365,12469.98,198598.769
137,300751.SZ,20190927,154.99,166.1,152.8,165.18,155.44,9.74,6.2661,12583.5,204834.832
136,300751.SZ,20190930,163.8,167.59,162.1,164.06,165.18,-1.12,-0.678,6611.83,109138.929
135,300751.SZ,20191008,163.89,168.5,159.2,161.0,164.06,-3.06,-1.8652,7107.0,115660.369
134,300751.SZ,20191009,162.97,166.23,156.8,164.63,161.0,3.63,2.2547,6406.0,103976.769
133,300751.SZ,20191010,166.0,166.0,159.3,162.61,164.63,-2.02,-1.227,6921.99,112657.916
132,300751.SZ,20191011,162.0,162.0,155.17,157.08,162.61,-5.53,-3.4008,7827.04,123371.366
131,300751.SZ,20191014,157.08,157.96,154.1,155.49,157.08,-1.59,-1.0122,6702.56,104478.566
130,300751.SZ,20191015,154.71,155.6,146.66,154.8,155.49,-0.69,-0.4438,13474.12,203648.333
129,300751.SZ,20191016,153.74,154.77,146.92,147.9,154.8,-6.9,-4.4574,10593.04,159197.985
128,300751.SZ,20191017,148.01,150.87,147.79,148.38,147.9,0.48,0.3245,4298.79,63982.533
127,300751.SZ,20191018,148.01,148.76,143.82,143.82,148.38,-4.56,-3.0732,6084.13,88631.457
126,300751.SZ,20191021,144.14,147.69,140.53,141.58,143.82,-2.24,-1.5575,6332.0,91364.046
125,300751.SZ,20191022,139.55,143.84,139.55,141.89,141.58,0.31,0.219,3724.54,52786.142
124,300751.SZ,20191023,141.89,142.5,137.0,137.15,141.89,-4.74,-3.3406,5454.34,75825.417
123,300751.SZ,20191024,138.52,139.3,136.4,139.0,137.15,1.85,1.3489,3041.05,42104.12
122,300751.SZ,20191025,138.7,139.73,136.37,138.32,139.0,-0.68,-0.4892,4405.0,60791.627
121,300751.SZ,20191028,138.29,140.2,136.36,139.79,138.32,1.47,1.0628,5078.63,70330.895
120,300751.SZ,20191029,139.5,141.0,137.7,139.79,139.79,0.0,0.0,4329.72,60357.793
119,300751.SZ,20191030,138.22,144.0,137.23,143.0,139.79,3.21,2.2963,4406.8,62374.396
118,300751.SZ,20191031,143.0,143.69,139.6,140.89,143.0,-2.11,-1.4755,2993.0,42331.873
117,300751.SZ,20191101,139.75,142.0,138.5,141.11,140.89,0.22,0.1562,3098.8,43580.918
116,300751.SZ,20191104,140.99,141.0,135.4,135.91,141.11,-5.2,-3.6851,7622.0,105398.793
115,300751.SZ,20191105,135.97,137.64,129.11,131.7,135.91,-4.21,-3.0976,10867.61,143164.3
114,300751.SZ,20191106,130.54,133.8,130.13,131.0,131.7,-0.7,-0.5315,5163.82,68305.453
113,300751.SZ,20191107,130.8,133.8,130.65,132.13,131.0,1.13,0.8626,3561.79,47181.469
112,300751.SZ,20191108,133.0,133.71,130.7,132.0,132.13,-0.13,-0.0984,3806.82,50304.749
111,300751.SZ,20191111,131.0,131.99,126.0,127.1,132.0,-4.9,-3.7121,5787.0,74095.371
110,300751.SZ,20191112,124.0,130.18,124.0,129.98,127.1,2.88,2.2659,5763.49,73847.51
109,300751.SZ,20191113,129.7,136.36,128.9,135.15,129.98,5.17,3.9775,7348.2,98286.559
108,300751.SZ,20191114,135.45,138.36,133.49,135.45,135.15,0.3,0.222,5115.49,69266.96
107,300751.SZ,20191115,134.5,135.64,130.52,130.92,135.45,-4.53,-3.3444,5949.68,78810.909
106,300751.SZ,20191118,132.0,134.9,128.3,129.8,130.92,-1.12,-0.8555,5964.16,77858.87
105,300751.SZ,20191119,131.0,131.65,129.35,130.87,129.8,1.07,0.8243,5337.61,69737.41
104,300751.SZ,20191120,130.83,132.96,129.01,131.73,130.87,0.86,0.6571,4484.0,58825.761
103,300751.SZ,20191121,131.01,132.49,127.88,129.0,131.73,-2.73,-2.0724,5134.0,66549.664
102,300751.SZ,20191122,130.0,131.2,126.02,126.4,129.0,-2.6,-2.0155,5523.0,70949.559
101,300751.SZ,20191125,126.5,127.16,120.5,122.1,126.4,-4.3,-3.4019,6199.72,76259.766
100,300751.SZ,20191126,121.62,123.11,120.0,120.33,122.1,-1.77,-1.4496,4072.0,49324.679
99,300751.SZ,20191127,121.81,121.99,119.59,121.0,120.33,0.67,0.5568,3630.72,44014.946
98,300751.SZ,20191128,120.19,121.95,118.55,119.41,121.0,-1.59,-1.314,4320.06,51893.937
97,300751.SZ,20191129,119.64,123.97,119.64,122.05,119.41,2.64,2.2109,5127.29,62557.577
96,300751.SZ,20191202,122.95,122.95,119.85,120.3,122.05,-1.75,-1.4338,4620.0,55839.022
95,300751.SZ,20191203,120.3,123.2,119.3,123.0,120.3,2.7,2.2444,3524.56,42786.864
94,300751.SZ,20191204,121.84,123.28,120.2,121.06,123.0,-1.94,-1.5772,3076.88,37460.539
93,300751.SZ,20191205,121.08,125.59,121.08,124.95,121.06,3.89,3.2133,6229.36,77470.742
92,300751.SZ,20191206,124.45,129.0,123.68,129.0,124.95,4.05,3.2413,5489.97,69350.145
91,300751.SZ,20191209,131.6,132.0,128.09,129.25,129.0,0.25,0.1938,4773.44,61997.716
90,300751.SZ,20191210,129.48,132.7,128.39,130.98,129.25,1.73,1.3385,6173.82,80926.938
89,300751.SZ,20191211,130.99,132.0,128.01,130.0,130.98,-0.98,-0.7482,5809.52,75334.894
88,300751.SZ,20191212,129.7,131.1,127.01,127.23,130.0,-2.77,-2.1308,3824.04,49138.524
87,300751.SZ,20191213,129.0,129.93,128.12,129.4,127.23,2.17,1.7056,6139.98,79387.701
86,300751.SZ,20191216,129.2,134.68,129.2,134.0,129.4,4.6,3.5549,9049.04,120076.376
85,300751.SZ,20191217,135.8,135.94,132.4,133.09,134.0,-0.91,-0.6791,9169.11,122375.232
84,300751.SZ,20191218,132.67,135.0,132.21,133.0,133.09,-0.09,-0.0676,6847.5,91144.227
83,300751.SZ,20191219,132.33,134.49,132.33,134.01,133.0,1.01,0.7594,5657.05,75450.139
82,300751.SZ,20191220,138.0,139.88,135.2,135.35,134.01,1.34,0.9999,12271.57,168509.005
81,300751.SZ,20191223,134.2,136.66,130.8,130.99,135.35,-4.36,-3.2213,9502.78,126968.568
80,300751.SZ,20191224,130.98,133.97,130.19,133.42,130.99,2.43,1.8551,5604.43,74318.52
79,300751.SZ,20191225,134.0,136.48,133.1,135.0,133.42,1.58,1.1842,6022.05,81342.061
78,300751.SZ,20191226,135.77,139.2,134.51,139.0,135.0,4.0,2.963,9212.89,126643.931
77,300751.SZ,20191227,141.0,141.06,138.38,139.02,139.0,0.02,0.0144,9268.56,129193.204
76,300751.SZ,20191230,138.98,144.1,137.52,143.5,139.02,4.48,3.2226,7934.98,112412.281
75,300751.SZ,20191231,141.88,143.5,139.94,141.45,143.5,-2.05,-1.4286,6146.37,86689.629
74,300751.SZ,20200102,141.7,146.8,140.6,145.23,141.45,3.78,2.6723,8912.0,128484.553
73,300751.SZ,20200103,145.0,148.6,144.22,147.4,145.23,2.17,1.4942,9350.73,137523.205
72,300751.SZ,20200106,146.0,158.98,145.0,154.79,147.4,7.39,5.0136,13774.63,211558.344
71,300751.SZ,20200107,158.8,170.27,156.29,170.27,154.79,15.48,10.0006,25052.85,413263.164
70,300751.SZ,20200108,174.9,187.22,172.77,173.99,170.27,3.72,2.1848,34018.51,610260.153
69,300751.SZ,20200109,179.7,189.99,178.0,180.6,173.99,6.61,3.7991,29926.88,544543.596
68,300751.SZ,20200110,181.6,183.39,174.71,179.96,180.6,-0.64,-0.3544,12883.15,231180.772
67,300751.SZ,20200113,179.0,184.88,175.91,184.38,179.96,4.42,2.4561,15421.63,277529.988
66,300751.SZ,20200114,186.4,196.0,177.51,189.99,184.38,5.61,3.0426,17706.1,329232.22
65,300751.SZ,20200115,192.01,204.24,191.0,201.8,189.99,11.81,6.2161,16508.5,327205.815
64,300751.SZ,20200116,200.5,200.5,193.3,194.08,201.8,-7.72,-3.8256,10370.0,203374.179
63,300751.SZ,20200117,193.61,195.6,188.2,193.48,194.08,-0.6,-0.3092,10551.62,202467.894
62,300751.SZ,20200120,191.7,194.99,186.0,193.6,193.48,0.12,0.062,11752.88,222737.84
61,300751.SZ,20200121,192.51,197.61,190.52,197.61,193.6,4.01,2.0713,8661.4,167811.31
60,300751.SZ,20200122,197.0,197.58,182.0,192.2,197.61,-5.41,-2.7377,10965.71,206900.708
59,300751.SZ,20200123,189.2,193.66,173.0,179.98,192.2,-12.22,-6.358,14176.88,258763.692
58,300751.SZ,20200203,161.98,175.0,161.98,165.91,179.98,-14.07,-7.8175,11095.8,186691.788
57,300751.SZ,20200204,175.0,182.34,171.06,180.0,165.91,14.09,8.4926,13048.91,232113.029
56,300751.SZ,20200205,182.0,187.99,177.7,183.0,180.0,3.0,1.6667,18869.75,344597.4
